행정동_코드,행정동_코드_명,총_점포_수_합계,2024년_총_유동인구_합계,2024년_총_상주인구_합계,영역_면적,월_평균_소득_금액,지출_총금액,식료품_지출_총금액,음식_지출_총금액,집객_지수
11650520,서초2동,2661,27987514,98544,1230924,20784524,486483523000,3990024000,11067091000,0.3761438007725562
11650530,서초3동,4374,48087108,127448,2998572,18715800,538395572000,6123353000,19987239000,0.5896340508170165
11650531,서초4동,1944,25988843,121124,879773,25901532,92630426000,4653114000,16304568000,0.4370116385798638
11650540,잠원동,1554,25103634,107200,1756867,21833832,25185539000,2136149000,5139279000,0.2203107169846938
11650550,반포본동,213,1604110,468,972536,22332084,1479221000,65403000,221161000,0.0357666404671957
11650560,반포1동,1363,26937038,134960,992368,21353208,24283809000,2886989000,3709904000,0.2315709901841922
11650570,반포2동,303,6778853,93288,1396031,27249324,5327877000,1440594000,1510055000,0.1166663330389922
11650580,반포3동,522,13866120,95044,1251708,24563100,13799470000,1282221000,2982092000,0.173121747841275
11650581,반포4동,1947,22190961,73896,1427141,21121932,77901730000,6548959000,17691467000,0.218326576393624
11650590,방배본동,1161,17695142,81604,677510,19424648,50103405000,2470092000,3182067000,0.1674059317658772
11650600,방배1동,1057,17615942,65916,689244,16276956,17791221000,5354500000,4069930000,0.1618720901690758
11650610,방배2동,1561,19210879,72040,1904030,15457204,223310656000,3231152000,13258367000,0.1900300210198172
11650620,방배3동,468,13607482,63028,2375134,18726348,12352665000,1314510000,1252899000,0.1954191519428774
11650621,방배4동,1377,25609055,91016,949527,18231748,17469107000,2271676000,4427678000,0.2606296864310816
11650651,양재1동,2525,33752486,167880,5765358,16692944,31479514000,4882863000,9406273000,0.4729353036948726
11650652,양재2동,3129,22898153,84628,7562268,12889528,28876912000,7060536000,9912877000,0.2594360861761596
11650660,내곡동,469,7491847,68000,12708880,16188252,7531319000,1510601000,2161515000,0.2955349614485642
11680510,신사동,4080,27019919,61744,2059234,20399660,101502642000,5318909000,17462681000,0.4302359622711848
11680521,논현1동,3946,39282288,83984,1258744,13108264,95066292000,6768057000,16859726000,0.505061695070314
11680531,논현2동,4548,47719764,81476,1458524,15895972,71936668000,11961105000,15806002000,0.4078967682943065
11680545,압구정동,4923,30161649,104476,2345057,23234148,116132636000,6448853000,23395920000,0.5235979457887107
11680565,청담동,3701,36170219,98140,2329217,20040816,83838573000,6162922000,15307642000,0.4834110798789778
11680580,삼성1동,3315,18852088,48536,1944629,20392384,109376873000,4872213000,14701950000,0.3390366274465776
11680590,삼성2동,2325,36780247,122316,1242271,20220456,45609903000,8247999000,6791204000,0.294620463041975
11680600,대치1동,520,18555799,95512,809823,29685220,38571230000,3463145000,3298393000,0.2129837401060706
11680610,대치2동,2261,25011689,152848,1837367,24069448,85221304000,5704606000,9076201000,0.3592395157136478
11680630,대치4동,2899,41777376,74456,701081,16404576,500057457000,6362547000,14589133000,0.2574633804316337
11680640,역삼1동,10953,82890741,136328,2362133,14429060,3455186787000,20298571000,52361230000,0.9335998872190774
11680650,역삼2동,2557,48333871,145392,1135029,21469588,1990470680000,5314273000,9660742000,0.3289003941352954
11680655,도곡1동,1076,30580979,80020,1050609,21649936,90756189000,2539509000,4805016000,0.2358849173207199
11680656,도곡2동,1366,15583012,130592,990763,26270016,183097902000,3469154000,7245133000,0.1943901525852654
11680660,개포1동,72,8462533,27060,1449952,21345492,955118000,262870000,43953000,0.056599301248156
11680670,개포2동,584,8567974,166832,2243338,20783208,6548356000,2049983000,1526382000,0.2339520469094375
11680690,개포4동,1044,13771942,92604,1665461,14202108,10042330000,2417994000,2357256000,0.198947333061872
11680700,세곡동,790,14095929,182052,6367772,15541612,16519352000,4401102000,3202778000,0.3523049985357465
11680720,일원본동,261,9807556,91184,2354625,21779544,12055866000,2155292000,1367894000,0.1712470209992109
11680730,일원1동,713,10319758,58200,953471,12091724,6994510000,1397794000,2295530000,0.1134169629769792
11680740,일원2동,296,5291111,67332,1300290,18212740,3540351000,1399147000,620546000,0.0966050733989568
11680750,수서동,734,8816670,56104,1629403,15389516,326110286000,2436090000,4341770000,0.1417760364628566
11710510,풍납1동,446,18768857,47000,1075294,12044600,4279947000,1296032000,877330000,0.0619842848343173
11710520,풍납2동,616,20171210,94208,2564554,15566816,13980778000,2618966000,1168739000,0.20660922245645
11710531,거여1동,616,13700374,48044,522308,11156400,5129669000,1379547000,1362335000,0.0612768192355142
11710532,거여2동,532,14634315,94384,612901,12132952,9379883000,2644962000,2276494000,0.1167655459333954
11710540,마천1동,690,13966446,71928,575258,9742544,4010652000,1811432000,623987000,0.1096411442909132
11710550,마천2동,1015,20284427,70300,890688,9357724,10689885000,4288492000,2042669000,0.1427392334205567
11710561,방이1동,1200,14557706,60364,609259,15882080,15754391000,1587183000,4460662000,0.1077806365058012
11710562,방이2동,3006,25441522,104376,769841,11713084,477585934000,6321241000,20722052000,0.2643096885337861
11710566,오륜동,274,2710194,71196,3085088,24380640,7006089000,2824479000,1639531000,0.1136766702679462
11710570,오금동,1584,39176374,149364,1648868,14042696,18294686000,4396170000,4402963000,0.2208988863784743
11710580,송파1동,2537,24648833,93412,686925,12516864,28203250000,4904167000,12137259000,0.1588775134150634
11710590,송파2동,764,12645298,73904,631023,17483880,7992836000,1871972000,1466307000,0.1160698637325805
11710600,석촌동,2827,26821025,122728,946914,11711644,30445953000,7474616000,8573947000,0.2615763912839996
11710610,삼전동,1538,25414488,116248,953338,11119920,20433853000,4758299000,4897704000,0.1853320476577069
11710620,가락본동,2686,33405775,100684,1014738,14086244,25963532000,3581799000,8779030000,0.2362195072457341
11710631,가락1동,1035,3112696,109876,1393228,19894352,16436665000,8339495000,2522815000,0.1270255109204941
11710632,가락2동,1195,25160392,124724,932311,15640792,16698644000,4611158000,3973053000,0.2338598592221774
11710641,문정1동,955,17377346,78008,612546,14273428,10086487000,2648777000,2996835000,0.1060897551737974
11710642,문정2동,4301,11279494,115128,2242033,17702592,63634906000,8501539000,13043445000,0.2416112554472594
11710646,장지동,772,30981089,113892,1278355,13053856,10069229000,3669566000,2013224000,0.2307204824069632
11710647,위례동,689,12748781,179428,2537372,16811548,12716503000,2210762000,3152319000,0.1368077837629389
11710650,잠실본동,3407,33437310,110924,1028997,12317548,50328679000,8347717000,15103427000,0.3126989372121326
11710670,잠실2동,489,8273298,139636,2686850,25410564,9657575000,1895990000,1115404000,0.1363884046374572
11710680,잠실3동,1029,14512094,135220,1542643,21810728,24642143000,2921999000,1541252000,0.1623851652648678
11710690,잠실4동,182,9010378,84768,780204,24031948,4730589000,1555473000,613613000,0.1075793593620542
11710710,잠실6동,1757,9641191,66056,1508001,20951100,106385925000,8470704000,11494342000,0.2329923495533986
11710720,잠실7동,114,2711190,37676,723486,24058064,1188051000,476191000,120434000,0.0301416910106179
11740515,강일동,514,16163076,177028,3647520,12293000,9568768000,3593226000,1778451000,0.3378031672123306
11740520,상일동,977,13801102,157228,1813623,14760848,9307376000,3345914000,2097928000,0.1759449919742329
11740530,명일1동,1384,19719466,101116,634942,14160812,19816850000,4958965000,5564725000,0.2473105012861133
11740540,명일2동,646,8443987,68136,914329,18057112,19104400000,2530479000,3720004000,0.171030406662929
11740550,고덕1동,431,15266538,95728,1518495,18474564,5286027000,2688780000,816616000,0.1468148661015042
11740560,고덕2동,704,8504266,90736,2206786,9861996,8062452000,2344209000,1503846000,0.123633371067914
11740570,암사1동,1449,34314848,135300,735480,11408628,16661181000,7549973000,3422934000,0.1372406657307385
11740580,암사2동,608,9611028,59300,2174329,14754140,7851115000,1374899000,2550507000,0.0842056854001018
11740590,암사3동,220,6048902,68544,1799368,17883556,4614096000,1404914000,698281000,0.068512575203809
11740600,천호1동,1082,41773923,103768,668998,9892444,9057903000,2271807000,2722210000,0.1402317437197744
11740610,천호2동,2743,44908401,130776,1850853,10998964,185978278000,4888987000,9357264000,0.3364238965764098
11740620,천호3동,1552,29563131,103876,561872,12661312,15393118000,2481727000,3994046000,0.1796750381410814
11740640,성내1동,1335,23368187,77568,663675,13753504,17152944000,2694853000,4253959000,0.1554425965719059
11740650,성내2동,1598,33767085,93808,625147,11298368,20182189000,4053597000,5378600000,0.1789559940184929
11740660,성내3동,2288,26795019,89732,647356,11589384,20267779000,4389485000,7361151000,0.216607222185812
11740685,길동,3126,69203124,177580,1631616,11362412,37367163000,8889710000,9003990000,0.4125227279097884
11740690,둔촌1동,15,35831,64,912178,14386936,79736000,0,27252000,0.0033523559332523
11740700,둔촌2동,1032,27278954,96912,1550455,13657624,12102008000,2057149000,3335024000,0.2154354841602916
