"기준_년분기_코드","자치구_코드","자치구_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20201","11170","용산구","CS300026","완구","356354816","2028","200550088","155804728","30762819","8201466","13382626","33827077","114376100","109909188","45895540","0","1903972","105491258","152770059","96189527","0","320666436","22070082","380599","61522296","68083183","182074308","28591255","2084877","1108","920","313","177","195","218","205","574","346","0","59","847","796","326","0","1639","294","24","611","611","546","113","29"
"20201","11200","성동구","CS200031","세탁소","814349546","31653","723922586","90426960","107968962","342785471","107680377","77005672","88482104","86744917","3682043","1699757","67112920","109527235","404142065","223612929","8254640","258115036","526018675","819478","62821971","418689420","106359891","129795952","65575128","26141","5512","5972","4483","5495","4827","5364","5235","277","190","5576","6702","7737","11048","400","17522","13845","145","5009","9102","6890","5919","4291"
"20201","11200","성동구","CS300011","일반의류","25116676992","330291","17627701667","7488975325","2549212497","3241184878","3390152288","4319609312","4127542692","4465673291","3023302034","271226","1151913483","5188356811","9900898807","8279427916","595808749","9933623938","14315561230","198029114","4346333916","3709371247","7132015920","6153097822","2710337150","223748","106543","34144","45548","45232","50631","48193","63956","42587","4","11349","71079","126637","111202","10020","115462","209613","3091","70390","43963","86980","77639","43005"
"20201","11200","성동구","CS300036","조명용품","1836197687","66204","1598457903","237739784","360700942","264370462","269229162","442429216","261728121","230268482","7471302","0","634481696","425398835","499265587","277027487","24082","759021708","414876911","0","66585341","122211360","243492914","440691980","300917023","54937","11267","13744","9873","8437","13938","8945","10633","634","0","14440","15266","23336","13154","8","32106","20939","0","7186","5370","12459","13255","14774"
"20201","11200","성동구","CS200026","자동차미용","1730631663","20927","1591941835","138689828","346576688","340273208","242486463","254289805","408315671","122583525","16106303","0","261535148","486151208","539240401","439684459","4020447","1321492891","186989360","0","60535190","323941923","263293707","270362147","590349279","18608","2319","4677","3366","3232","3594","3739","1921","398","0","4134","7012","7221","2532","28","14891","3186","0","655","5025","3811","4049","4542"
"20201","11200","성동구","CS300019","의료기기","5716123891","22914","4979883925","736239966","2317191292","446729643","122425781","230966534","1862570675","736239966","0","0","769813574","2454279633","2350311733","141718951","0","4410796647","1305327244","0","0","210114354","668497826","920070451","3917441260","19449","3465","5038","3061","2536","5020","3794","3465","0","0","3978","8568","8857","1511","0","16408","6506","0","0","648","850","6978","14438"
"20201","11215","광진구","CS100005","제과점","6943830558","883171","4916758859","2027071699","932509632","963160377","908952484","993231582","1118904784","1113462979","913608720","17184149","1016003705","1320999471","1526177774","2325210741","738254718","2708958192","3965604119","67488109","1644039063","1707577283","1556062283","1151757833","547637733","638143","245028","125125","125831","121143","127831","138213","131969","113059","1464","146759","160519","190915","292392","91122","327927","541883","11197","262833","218236","179010","133805","64736"
"20201","11215","광진구","CS200002","외국어학원","928667434","3447","835744186","92923248","284113381","125734929","101882110","196492610","127521156","88601454","4321794","0","140717252","172562022","313099675","263154283","39134202","424771927","458941782","0","136618736","135668349","342891585","242094984","26440057","2984","463","944","545","329","683","483","451","12","0","460","635","1151","1064","137","1418","1919","0","668","497","1325","733","114"
"20201","11215","광진구","CS100002","중식음식점","6945390285","247681","4596148696","2349241589","824791116","873211175","926979989","926985935","1044180481","1209084641","1140156948","221617761","47959938","1865204049","1010815605","2888745012","911047920","3656592787","2502578993","47554694","1780136229","1587152989","1268934790","1016215779","459177288","170359","77322","30600","32899","34939","35494","36427","39319","38003","5510","2546","82208","43458","94024","19935","135002","95684","3078","74118","56983","43363","36995","16153"
"20201","11215","광진구","CS100004","양식음식점","4146622813","140793","2720097919","1426524894","496643666","473925930","578293686","549336406","621898231","760320855","666204039","97724195","12393056","940894458","858653133","1752546835","484411136","1865577392","1905178033","59177824","1788460248","854400109","522320380","415492187","130904669","95263","45530","18175","16712","19537","19540","21299","23749","21781","2691","550","36219","31110","57469","12754","65910","68801","2519","69994","29439","16026","12794","3932"
"20201","11215","광진구","CS300029","애완동물","1325215638","26193","827841100","497374538","126211522","145767308","197025080","139805242","219031948","178958632","318415906","434017","12350689","189673939","422193582","417857800","282705611","688242808","636972830","2023660","281688638","338763463","422944678","192855467","86939732","18819","7374","3562","3057","3783","3649","4768","3988","3386","23","810","4545","8088","11056","1671","10787","15406","137","4283","4275","5541","7691","4266"
"20201","11215","광진구","CS300015","가방","361998978","4776","191874962","170124016","16477463","45007907","26524849","36989646","66875097","73771239","96352777","0","22704915","88052216","114411273","136830574","0","166095748","175726478","192001","89053701","87542804","64239146","56557461","44237112","2788","1988","526","498","375","618","771","1136","852","0","199","1186","1745","1646","0","2183","2480","18","955","982","908","1087","713"
"20201","11230","동대문구","CS200028","미용실","5447861015","161205","3419695777","2028165238","679339285","597190109","600585493","776210587","766370303","1251063367","777101871","6222395","96308789","1050539869","1769495237","2363226892","162067833","2263188475","3140309337","44976551","977250667","1323580264","1353665332","1134854263","569170735","106061","55144","21174","19711","19974","21979","23223","32409","22735","228","4741","35174","50221","67729","3112","92181","68505","1589","35681","36313","37939","33222","15934"
"20201","11230","동대문구","CS200006","일반의원","25205443026","1168968","21148041003","4057402023","4515992491","4705042089","3447595807","4170384794","4309025822","3718290978","339111045","5504567","4997230895","7830214024","8116635875","4209908414","45949251","11435733334","13752514384","46444036","3608725461","4166565360","4692892304","5947574207","6726046349","993272","175696","226063","201079","169071","194453","202606","156708","18988","11","283438","334003","383815","165170","2531","569886","598702","4688","121541","183300","251216","273646","334197"
"20201","11230","동대문구","CS300011","일반의류","14014915615","206582","10238660254","3776255361","2093016265","2016771460","2113179902","2241398024","1774294603","2155986785","1620268576","168469387","1219942122","2821926540","5194482493","4124761872","485333201","4588237976","9275957022","76228805","1535571253","1771752377","2159142953","4588176351","3733323263","147009","59573","25866","28607","30640","31157","30739","34968","24605","1897","8203","42346","72721","72778","8637","61979","143458","2953","44479","26439","34323","51367","45876"
"20201","11230","동대문구","CS300002","편의점","33234433934","5538181","23862237834","9372196100","4629520236","4655060194","4602844705","4852655674","5122157025","4862967744","4509228356","4922495010","4750849882","4203193216","4190770398","8552011054","6615114374","21876127236","11009141846","285725428","10938659538","8810103355","6357298014","4641632836","1851849906","4019823","1518358","783393","799876","792585","813139","830830","789116","729242","736290","895879","783596","727872","1368746","1025798","3629185","1892715","73490","2211257","1385130","883197","694483","274340"
"20201","11230","동대문구","CS300031","가구","2881438433","46332","2254907577","626530856","276499735","538557492","490605952","443331927","505912471","412393772","214137084","0","1039761894","783676034","867694340","190306165","0","1381495037","1061743468","0","107381145","162537443","501706147","1001336292","670277477","38757","7575","4702","8567","9004","9096","7388","6976","599","0","20207","13049","11869","1207","0","23721","9606","0","1375","4882","5430","13112","8526"
"20201","11230","동대문구","CS100008","분식전문점","5957031994","521107","4344215742","1612816252","748332662","857821458","855433588","857392150","1025235884","895620804","717195448","558911367","397717135","1320208307","857410237","1798968633","1023816315","3107658374","2461425363","89282086","1638960818","1301066888","1286474673","882610229","370689042","393858","127249","75826","78827","77681","79543","81981","71749","55500","29450","43559","135422","85666","164991","62019","267079","237664","9632","152928","118200","111650","79066","33274"
